date,value
1972-01-01,803.92
1972-02-01,843.81
1972-03-01,860.33
1972-04-01,879.65
1972-05-01,885.43
1972-06-01,866.98
1972-07-01,847.49
1972-08-01,860.01
1972-09-01,855.69
1972-10-01,855.81
1972-11-01,871.55
1972-12-01,874.59
1973-01-01,837.81
1973-02-01,780.14
1973-03-01,753.98
1973-04-01,687.54
1973-05-01,649.81
1973-06-01,634.96
1973-07-01,681.61
1973-08-01,646.31
1973-09-01,683.77
1973-10-01,671.49
1973-11-01,566.3
1973-12-01,554.62
1974-01-01,566.26
1974-02-01,555.63
1974-03-01,536.55
1974-04-01,503.01
1974-05-01,458.66
1974-06-01,430.85
1974-07-01,393.76
1974-08-01,346.71
1974-09-01,305.8
1974-10-01,354.79
1974-11-01,339.74
1974-12-01,320.34
1975-01-01,372.28
1975-02-01,386.46
1975-03-01,399.03
1975-04-01,412.65
1975-05-01,434.2
1975-06-01,451.29
1975-07-01,426.6
1975-08-01,404.45
1975-09-01,378.41
1975-10-01,389.8
1975-11-01,396.05
1975-12-01,388.72
1976-01-01,435.16
1976-02-01,449.59
1976-03-01,450.56
1976-04-01,446.35
1976-05-01,433.07
1976-06-01,441.94
1976-07-01,444.4
1976-08-01,434.33
1976-09-01,440.33
1976-10-01,433.68
1976-11-01,436.65
1976-12-01,467.47
1977-01-01,453.91
1977-02-01,444.76
1977-03-01,439.68
1977-04-01,442.26
1977-05-01,440.57
1977-06-01,456.66
1977-07-01,458.66
1977-08-01,454.65
1977-09-01,456.55
1977-10-01,440.01
1977-11-01,463.14
1977-12-01,470.2
1978-01-01,448.44
1978-02-01,448.4
1978-03-01,465.58
1978-04-01,501.03
1978-05-01,518.11
1978-06-01,512.84
1978-07-01,534.46
1978-08-01,568.53
1978-09-01,555.48
1978-10-01,460.26
1978-11-01,472.98
1978-12-01,484.43
1979-01-01,512.09
1979-02-01,492.94
1979-03-01,524.67
1979-04-01,526.85
1979-05-01,510.83
1979-06-01,530.97
1979-07-01,537.34
1979-08-01,566.56
1979-09-01,558.83
1979-10-01,500.92
1979-11-01,528.28
1979-12-01,547.73
1980-01-01,577.93
1980-02-01,556.74
1980-03-01,454.57
1980-04-01,480.31
1980-05-01,511.23
1980-06-01,530.3
1980-07-01,577.45
1980-08-01,605.73
1980-09-01,621.3
1980-10-01,631.93
1980-11-01,676.7
1980-12-01,651.74
1981-01-01,632
1981-02-01,626.11
1981-03-01,660.18
1981-04-01,676.23
1981-05-01,691.64
1981-06-01,661.92
1981-07-01,642.09
1981-08-01,589.4
1981-09-01,536.85
1981-10-01,581.03
1981-11-01,597.26
1981-12-01,579.1
1982-01-01,555.19
1982-02-01,527.17
1982-03-01,516.59
1982-04-01,540.99
1982-05-01,517.94
1982-06-01,490.77
1982-07-01,477.11
1982-08-01,505.58
1982-09-01,532.74
1982-10-01,601.74
1982-11-01,658.83
1982-12-01,661.9
1983-01-01,705.81
1983-02-01,740.04
1983-03-01,768.8
1983-04-01,826.14
1983-05-01,865.06
1983-06-01,890.13
1983-07-01,845.62
1983-08-01,811.17
1983-09-01,818.75
1983-10-01,755.56
1983-11-01,784.74
1983-12-01,764.48
1984-01-01,732.28
1984-02-01,685.47
1984-03-01,679.36
1984-04-01,667.1
1984-05-01,625.82
1984-06-01,642.26
1984-07-01,613.3
1984-08-01,677.34
1984-09-01,661.59
1984-10-01,652.08
1984-11-01,639.94
1984-12-01,652.34
1985-01-01,734.37
1985-02-01,745.17
1985-03-01,729.27
1985-04-01,729.56
1985-05-01,753.17
1985-06-01,765.08
1985-07-01,776.75
1985-08-01,766.28
1985-09-01,719.25
1985-10-01,747.92
1985-11-01,800.7
1985-12-01,826.22
1986-01-01,851.59
1986-02-01,914.21
1986-03-01,957.36
1986-04-01,980.61
1986-05-01,1021.31
1986-06-01,1029.16
1986-07-01,942.61
1986-08-01,970.27
1986-09-01,884.47
1986-10-01,909.22
1986-11-01,905.47
1986-12-01,877.23
1987-01-01,980.25
1987-02-01,1058.68
1987-03-01,1066.22
1987-04-01,1030.29
1987-05-01,1023.76
1987-06-01,1040.09
1987-07-01,1062.03
1987-08-01,1105.65
1987-09-01,1073.87
1987-10-01,779.48
1987-11-01,735.23
1987-12-01,796.17
1988-01-01,827.97
1988-02-01,879.33
1988-03-01,893.8
1988-04-01,900.22
1988-05-01,876.13
1988-06-01,929.52
1988-07-01,908.61
1988-08-01,879.74
1988-09-01,899.46
1988-10-01,884.34
1988-11-01,858.17
1988-12-01,879.89
1989-01-01,920.98
1989-02-01,913.71
1989-03-01,924.43
1989-04-01,965.52
1989-05-01,1001.72
1989-06-01,975.07
1989-07-01,1013.79
1989-08-01,1047.01
1989-09-01,1051.73
1989-10-01,1008.24
1989-11-01,1007.07
1989-12-01,1002.38
1990-01-01,907.28
1990-02-01,924.41
1990-03-01,940.68
1990-04-01,905.74
1990-05-01,987.31
1990-06-01,989.32
1990-07-01,934.24
1990-08-01,805.09
1990-09-01,721.73
1990-10-01,686.64
